Department,State,Vendor,Description,Start,Expiration,Amount,ContractNo,RenewalOptions
Lakeview Police Department,MI,Motorola Solutions,PremierOne computer aided dispatch software maintenance,2021-06-01,2028-05-31,311234,MI-24-151,1
Elmwood Park Police Department,NY,Tyler Technologies,New World records management system license and support,2022-04-01,2029-03-31,409928,NY-18-331,2
Elmwood Park Police Department,NY,Tyler Technologies,New World computer aided dispatch maintenance,2022-04-01,2029-03-31,282125,NY-20-882,2
Kingsport Hollow Police Department,SC,Tyler Technologies,New World records management system license and support,2025-10-31,2030-10-31,584835,SC-23-327,0
Kingsport Hollow Police Department,SC,Tyler Technologies,New World computer aided dispatch maintenance,2025-10-31,2030-10-31,411504,SC-23-166,0
Kingsport Hollow Police Department,SC,Tyler Technologies,New World mobile field reporting licenses,2025-10-31,2030-10-31,491042,SC-19-660,0
Kingsport Hollow Police Department,SC,Flock Safety,License plate reader camera subscription,2024-07-31,2027-07-31,45000,SC-23-547,1
Brookhaven Township Police Department,MN,CODY Systems,Records management system hosted subscription,2020-12-31,2027-12-31,544972,MN-23-199,2
Brookhaven Township Police Department,MN,Lexipol,Policy manual and daily training bulletins,2024-11-30,2027-11-30,80000,MN-20-503,0
Ashford Police Department,CT,Hexagon,Records management system license,2023-04-01,2030-03-31,973458,CT-18-850,0
Ashford Police Department,CT,Hexagon,Computer aided dispatch system upgrade,2023-04-01,2030-03-31,940873,CT-24-985,2
Ashford Police Department,CT,NEOGOV,PowerDMS policy management subscription,2026-10-01,2029-09-30,420000,CT-23-189,0
